4599876,/ru/jobs/4599876/,Повар-универсал,18000–22500
id,href,title,salary
4599872,/ru/jobs/4599872/,Адміністратор зі знанням англійської мови,no data available
id,href,title,salary
4599860,/ru/jobs/4599860/,Заместитель директора в немецкую компанию,30000
id,href,title,salary
3297805,/ru/jobs/3297805/,Водитель на авто компании,33000
id,href,title,salary
4599844,/ru/jobs/4599844/,"Продавець-консультант Sribna kraina (ТЦ ""Фора"")",10000–13000
id,href,title,salary
3399649,/ru/jobs/3399649/,Уборщица,no data available
id,href,title,salary
4397714,/ru/jobs/4397714/,Кур'єр на власному автомобілі,15000
id,href,title,salary
4376016,/ru/jobs/4376016/,"Кур'єр (мото, вело, авто)",15000
id,href,title,salary
3768903,/ru/jobs/3768903/,Кур'єр на власному авто,16000
id,href,title,salary
4397920,/ru/jobs/4397920/,Кур'єр на власному авто,18000
id,href,title,salary
4397724,/ru/jobs/4397724/,Кур'єр на власному авто,13000
id,href,title,salary
4397722,/ru/jobs/4397722/,Кур'єр на власному авто,15000
id,href,title,salary
4397721,/ru/jobs/4397721/,Кур'єр на власному авто,15000
id,href,title,salary
4022329,/ru/jobs/4022329/,Кур'єр на власному авто,15000
id,href,title,salary
4397717,/ru/jobs/4397717/,Кур'єр на власному авто,15000
id,href,title,salary
4599833,/ru/jobs/4599833/,Оператор call-центра,7000–9000
id,href,title,salary
4397689,/ru/jobs/4397689/,Кур'єр на власному авто,13000
id,href,title,salary
4397677,/ru/jobs/4397677/,Кур'єр на власному авто,18000
id,href,title,salary
3722469,/ru/jobs/3722469/,Курьер со своим авто,25000
id,href,title,salary
4397659,/ru/jobs/4397659/,Кур'єр на власному авто,15000
id,href,title,salary
3934387,/ru/jobs/3934387/,"Курьер (вело, мото, авто)",15000
id,href,title,salary
4397652,/ru/jobs/4397652/,Кур'єр на власному авто,15000
id,href,title,salary
4397650,/ru/jobs/4397650/,Кур'єр на власному авто,15000
id,href,title,salary
4436071,/ru/jobs/4436071/,Курьер со своим авто,15000
id,href,title,salary
4435887,/ru/jobs/4435887/,"Курьер (мото, вело)",15000
id,href,title,salary
4397635,/ru/jobs/4397635/,Кур'єр на власному авто,15000
id,href,title,salary
4421534,/ru/jobs/4421534/,"Кур'єр (мото, вело)",15000
id,href,title,salary
4421466,/ru/jobs/4421466/,Кур'єр на власному автомобілі,15000
id,href,title,salary
4421466,/ru/jobs/4421466/,Кур'єр на власному автомобілі,15000
id,href,title,salary
4397919,/ru/jobs/4397919/,Кур'єр на власному авто,18000
id,href,title,salary
4397632,/ru/jobs/4397632/,Кур'єр на власному авто,16000
id,href,title,salary
4025010,/ru/jobs/4025010/,Курьер со своим авто,35000
id,href,title,salary
4395980,/ru/jobs/4395980/,Кур'єр на власному авто,18000
id,href,title,salary
4025011,/ru/jobs/4025011/,Курьер со своим авто,30000
id,href,title,salary
4466771,/ru/jobs/4466771/,"Продавец-консультант (ТРЦ New way, ""Магелан"", ""Океан Плаза"", ""Лавина"", ""Дрим таун"")",15000
id,href,title,salary
4567092,/ru/jobs/4567092/,"Менеджер по выдаче кредитов, по работе с клиентами, кассир",no data available
id,href,title,salary
4025241,/ru/jobs/4025241/,Менеджер по продажам,18000–45000
id,href,title,salary
4338234,/ru/jobs/4338234/,Программист PHP,50000–90000
id,href,title,salary
4586594,/ru/jobs/4586594/,Продавець-касир у кав'ярню,14000–18000
id,href,title,salary
4583136,/ru/jobs/4583136/,"Уборщица в магазин одежды ""Пассаж""",9000
id,href,title,salary
3024075,/ru/jobs/3024075/,Менеджер по продажам,20000
id,href,title,salary
4599720,/ru/jobs/4599720/,Менеджер по роботі з клієнтами,12000–20000
id,href,title,salary
3565492,/ru/jobs/3565492/,Оператор call-центру,8000–10000
id,href,title,salary
3568956,/ru/jobs/3568956/,Оператор з телефонних продажів,9000–12800
id,href,title,salary
2646678,/ru/jobs/2646678/,Слесарь-сборщик (с/х техника),15000–18000
id,href,title,salary
4599662,/ru/jobs/4599662/,"Кур'єр (вело, мото, авто)",14000–15000
id,href,title,salary
4598202,/ru/jobs/4598202/,Менеджер по продажам образовательных услуг,45000
id,href,title,salary
4599627,/ru/jobs/4599627/,"Курьер (вело, мото, авто, Крюковщина)",15000
id,href,title,salary
4466714,/ru/jobs/4466714/,Менеджер по работе с социальными сетями,15000
id,href,title,salary
4588003,/ru/jobs/4588003/,"HR-менеджер, рекрутер",20000–30000
id,href,title,salary
4509252,/ru/jobs/4509252/,Мастер маникюра и педикюра,16000
id,href,title,salary
4489185,/ru/jobs/4489185/,Лікар-лаборант (ІФА) у медичну лабораторію,15000–25000
id,href,title,salary
4450083,/ru/jobs/4450083/,Дизайнер интерьера,10000–20000
id,href,title,salary
4564667,/ru/jobs/4564667/,"HR-менеджер, ассистент отдела HR, администратор",18000–27000
id,href,title,salary
4003707,/ru/jobs/4003707/,Менеджер по продажам,16000–50000
id,href,title,salary
4013379,/ru/jobs/4013379/,Продавець українських товарів,6500–13000
id,href,title,salary
4599545,/ru/jobs/4599545/,Data Analyst (Operations),no data available
id,href,title,salary
2816555,/ru/jobs/2816555/,Оператор call-центра,10000–13000
id,href,title,salary
3681965,/ru/jobs/3681965/,"Web-программист, разработчик WordPress, Opencart",20000–30000
id,href,title,salary
3345824,/ru/jobs/3345824/,Грузчик на склад продуктов питания,12000
id,href,title,salary
4088781,/ru/jobs/4088781/,Middle PHP developer,no data available
id,href,title,salary
4530045,/ru/jobs/4530045/,Продавець-оператор (Софіївська Борщагівка),17500
id,href,title,salary
4599498,/ru/jobs/4599498/,Senior Courier Specialist,no data available
id,href,title,salary
4414416,/ru/jobs/4414416/,Маркетолог,no data available
id,href,title,salary
2210055,/ru/jobs/2210055/,Водитель-экспедитор кат. С,15000–20000
id,href,title,salary
2821453,/ru/jobs/2821453/,"Продавець заприлавочної зони в супермаркет (відділ ""Мясо"", ст. м. Видубичі)",12100–13100
id,href,title,salary
4599357,/ru/jobs/4599357/,Продавец-консультант парфюмерии (ТРЦ Lavina),13000–20000
id,href,title,salary
4457638,/ru/jobs/4457638/,Менеджер по обучению клиентов,no data available
id,href,title,salary
3907283,/ru/jobs/3907283/,Менеджер по обучению клиентов,no data available
id,href,title,salary
4580486,/ru/jobs/4580486/,Официант,25000–30000
id,href,title,salary
4507675,/ru/jobs/4507675/,"Customer support specialist со знанием английского (ночная смена, IT)",no data available
id,href,title,salary
4459252,/ru/jobs/4459252/,"Customer support specialist со знанием английского (ночная смена, IT)",no data available
id,href,title,salary
3475617,/ru/jobs/3475617/,"Customer support specialist со знанием английского (ночная смена, IT)",13000–15000
id,href,title,salary
2332504,/ru/jobs/2332504/,"Автомойщик, полировщик (Оболонский, Шевченковский)",20000
id,href,title,salary
4590091,/ru/jobs/4590091/,"Готувач піци в супермаркет ""Велика Кишеня"" (ст. м. Видубичі)",13900–15550
id,href,title,salary
4590258,/ru/jobs/4590258/,"Кухар на фуд-корт (відкрита кухня, ст. м. Видубичі)",13900–15500
id,href,title,salary
4014433,/ru/jobs/4014433/,"HR-менеджер, руководитель",15000–25000
id,href,title,salary
3593659,/ru/jobs/3593659/,Оператор call-центру,8000–10000
id,href,title,salary
3484503,/ru/jobs/3484503/,Оператор з телефонних продажів,9000–12800
id,href,title,salary
4599314,/ru/jobs/4599314/,Водитель такси (один на авто),20000–30000
id,href,title,salary
2627227,/ru/jobs/2627227/,Торговый представитель,15000
id,href,title,salary
4043410,/ru/jobs/4043410/,Продавец-консультант аксессуаров для мобильной техники (Виноградарь),no data available
id,href,title,salary
4599185,/ru/jobs/4599185/,Product Owner (Big Data Academy),no data available
id,href,title,salary
4314590,/ru/jobs/4314590/,Оператор линии (производство пищевой промышленности),no data available
id,href,title,salary
4599294,/ru/jobs/4599294/,Full stack developer to Kharkiv,80000–120000
id,href,title,salary
4506719,/ru/jobs/4506719/,Middle PHP Developer,no data available
id,href,title,salary
3944836,/ru/jobs/3944836/,Виконавець робіт (фасади),no data available
id,href,title,salary
4563279,/ru/jobs/4563279/,Менеджер по продажам,15000–20000
id,href,title,salary
3841446,/ru/jobs/3841446/,"Кур'єр (мото, вело, авто)",13000
id,href,title,salary
4418121,/ru/jobs/4418121/,"Кур'єр (піший, мото, вело, авто)",20000
id,href,title,salary
4391903,/ru/jobs/4391903/,"Кур'єр (мото, вело, авто)",15000
id,href,title,salary
